food,Carbohydrates,Fat,Protein
cream cheese,0.8,5.0,0.9
neufchatel cheese,3.1,19.4,7.8
requeijao cremoso light catupiry,0.9,3.6,0.8
ricotta cheese,1.5,2.0,1.5
cream cheese low fat,1.2,2.3,1.2
cream cheese fat free,1.4,0.2,2.8
gruyere cheese,0.1,9.1,8.3
cheddar cheese,0.9,9.3,6.4
parmesan cheese,0.6,4.5,6.4
romano cheese,0.2,1.3,1.6
parmesan cheese grated,0.7,1.4,1.4
port salut cheese,0.8,37.2,31.4
swiss cheese,0.4,7.7,6.7
goat cheese hard,0.6,10.1,8.6
gouda cheese,0.6,7.7,7.0
pepper jack cheese lucerne,0.0,6.0,5.0
caraway cheese,0.9,8.3,7.1
gjetost cheese,96.8,67.0,21.9
tilsit cheese,0.8,10.4,9.8
goat cheese,0.009,8.4,6.1
brick cheese,0.8,8.9,7.0
asadero cheese,3.2,31.9,25.5
camembert cheese,0.1,7.3,5.9
provolone cheese reduced fat,4.0,19.9,27.9
roquefort cheese,1.7,26.0,18.3
queso blanco cheese,3.0,28.7,24.0
queso seco cheese,2.0,23.6,23.8
goat cheese soft,0.0,6.0,5.2
mozzarella cheese,0.7,6.6,6.7
chihuahua cheese,7.3,39.2,28.5
limburger cheese,0.1,8.2,6.0
muenster cheese,1.5,39.7,30.9
queso fresco cheese,3.6,29.1,22.1
brie cheese,0.1,8.3,6.2
pimento cheese,2.4,43.7,31.0
mexican cheese,3.8,21.7,27.7
feta cheese,1.2,6.4,4.3
mozzarella cheese fat free,4.0,0.0,35.8
provolone cheese,2.8,35.1,33.8
anejo cheese,6.1,39.6,28.3
honey,17.3,0.0,0.08
apple butter,8.5,0.063,0.045
fruit jam,13.8,0.095,0.0
chocolate hazelnut spread,11.5,5.5,1.0
peanut butter,3.6,7.4,3.3
peanut spread,2.2,8.5,3.8
chicken spread,2.3,9.8,10.1
cheese spread,8.4,68.6,17.0
tahini,3.9,7.2,2.7
orange marmalade,13.3,0.0,0.014
american cheese spread,1.4,3.4,2.6
apricot jam,12.9,0.01,0.1
chunky peanut butter,3.5,8.0,3.8
ham and cheese spread,0.3,2.8,2.4
chicken and rice casserole homade,2.4,1.0,2.0
picnic loaf,1.3,4.7,4.2
corn tamale,44.3,12.0,5.8
baked potato with cheese sauce bacon,44.4,25.9,18.4
chinese egg roll,24.3,10.6,7.4
butter croissant,26.1,12.0,4.7
enchilada with cheese beef,30.5,17.6,11.9
corned beef hash with potatoes,21.9,24.2,20.6
biscuit with egg cheese bacon,35.4,25.3,17.4
bagel with ham egg cheese,52.4,18.5,26.7
quesadilla with chicken,43.3,27.5,27.1
corn rice,25.2,0.3,1.8
kung pao chicken,41.5,42.2,59.0
beef empanada,27.8,16.3,10.1
frijoles with cheese,28.7,7.8,11.4
burrito with beef,43.9,8.1,9.1
crispy chicken sandwich,33.2,17.6,14.8
enchilada with cheese,21.2,25.3,15.4
pork egg roll,25.1,6.1,8.4
corn on the cob with butter,31.9,3.4,4.5
pancakes with butter syrup,45.4,7.0,4.1
burrito with beans,35.7,6.7,7.0
scrambled eggs,1.0,7.6,6.5
baked potato with sour cream,50.0,22.3,6.7
turkey and gravy,11.1,6.3,14.1
chicken egg roll,22.8,3.6,8.4
vegetable egg roll,25.0,3.6,5.2
ham cheese roll,1.1,5.2,3.8
biscuit with ham,43.8,18.4,13.4
lemon chicken,122.0,74.9,68.6
hummus,49.5,21.1,12.0
croissant with egg cheese,24.3,24.7,12.8
enchirito with cheese beef beans,33.8,16.1,17.9
sweet sour pork,3.3,2.2,1.2
crab cake,5.1,10.4,11.3
egg dinner roll,18.2,2.2,3.3
english muffin with egg cheese sausage,28.8,29.9,22.1
buttermilk pancakes,10.9,3.5,2.6
omelet,0.4,7.1,6.4
taco with chicken cheese lettuce,19.3,6.2,13.0
spinach souffle,8.0,17.6,10.7
english muffin with cheese sausage,27.3,22.3,14.3
potato gratin,27.6,18.6,12.4
biscuit with egg,35.4,25.3,17.4
french fries deep fried,29.4,10.5,2.4
sweet sour chicken,4.4,2.3,1.8
burrito with beans beef,47.0,18.0,27.8
nachos with cinnamon sugar,63.4,36.0,7.2
arroz con grandules,35.4,5.7,4.0
chili con carne,33.1,8.8,14.7
arroz con abichuelas,37.3,5.4,6.2
biscuit with sausage,33.3,27.1,10.7
vegetarian stew,17.3,7.4,42.0
chicken sandwich with cheese,41.6,38.8,29.4
biscuit with egg steak,21.3,28.4,17.9
taco salad,17.9,11.2,10.0
succotash,46.8,1.5,9.7
nachos with cheese jalapeno peppers,60.1,34.1,16.8
biscuit with egg ham,31.4,27.0,20.4
